id,user,transaction_date,sales_amount,join_date,region,,
47655,2914,2016-01-15,76.72,2014-11-09,M,,
47656,1634,2016-01-15,9.67,2012-11-28,I,,
47657,2053,2016-01-15,18.00,2013-07-01,L,,
47658,1650,2016-01-15,70.07,2013-06-07,A,,
47659,2471,2016-01-15,59.10,2013-08-21,O,,
47660,4675,2016-01-15,32.70,2014-11-12,F,,
47661,3649,2016-01-15,28.83,2013-11-19,C,,
47662,4527,2016-01-15,9.59,2013-08-16,A,,
47663,6528,2016-01-15,12.70,2007-11-30,O,,
47664,5448,2016-01-15,25.24,2009-06-27,I,,
47665,7258,2016-01-15,11.10,2016-01-15,M,,
47666,6038,2016-01-15,0.00,2005-12-17,D,,
47667,7258,2016-01-15,18.00,2016-01-15,M,,
47668,8474,2016-01-15,28.53,2013-11-04,C,,
47669,8397,2016-01-15,18.77,2016-01-15,A,,
47670,7999,2016-01-15,69.59,2016-01-15,M,,
47671,4240,2016-01-15,33.47,2013-08-07,H,,
47672,8520,2016-01-15,156.62,2004-02-24,P,,
47673,826,2016-01-16,18.68,2009-11-02,B,,
47674,18,2016-01-16,199.53,2004-07-24,I,,
47675,837,2016-01-16,7.37,2009-12-08,H,,
47676,1009,2016-01-16,18.74,2009-10-26,C,,
47677,664,2016-01-16,18.01,2010-01-21,B,,
47678,310,2016-01-16,101.69,2010-11-14,M,,
47679,1918,2016-01-16,20.41,2016-01-16,D,,
47680,2062,2016-01-16,2.46,2012-01-31,M,,
47681,147,2016-01-16,30.58,2011-06-24,I,,
47682,1795,2016-01-16,112.13,2015-05-03,G,,
47683,2677,2016-01-16,54.53,2016-01-16,B,,
47684,1381,2016-01-16,2.38,2008-07-14,B,,
47685,1361,2016-01-16,19.25,2006-12-01,I,,
47686,1657,2016-01-16,9.01,2015-04-03,C,,
47687,1096,2016-01-16,46.11,2014-10-28,C,,
47688,3393,2016-01-16,31.59,2015-12-12,C,,
47689,2154,2016-01-16,34.06,2015-05-04,B,,
47690,1153,2016-01-16,48.35,2013-06-08,C,,
47691,3991,2016-01-16,43.58,2016-01-16,C,,
47692,3030,2016-01-16,10.24,2016-01-16,B,,
47693,1737,2016-01-16,54.50,2013-07-01,C,,
47694,3950,2016-01-16,96.37,2013-07-02,H,,
